食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,50.0,41.0,33.0,33.0,25.0,33.0,33.0,42.0,41.0,41.0,30.0,33.0,33.0,32.0,42.0
胡蘿蔔,58.0,42.0,33.0,33.0,25.0,33.0,33.0,41.0,41.0,41.0,33.0,28.0,33.0,34.0,42.0
麻竹筍,0.0,100.0,0.0,0.0,75.0,0.0,167.0,0.0,100.0,100.0,0.0,0.0,83.0,0.0,0.0
馬鈴薯,66.0,50.0,41.0,50.0,33.0,50.0,50.0,58.0,55.0,50.0,45.0,41.0,42.0,43.0,58.0
甘藍,33.0,25.0,33.0,20.0,15.0,25.0,17.0,33.0,25.0,20.0,17.0,16.0,17.0,19.0,25.0
小白菜,66.0,42.0,41.0,41.0,33.0,33.0,33.0,50.0,50.0,50.0,40.0,33.0,33.0,31.0,58.0
包心白菜,50.0,33.0,30.0,33.0,20.0,33.0,33.0,41.0,50.0,33.0,30.0,20.0,33.0,32.0,50.0
菠菜,83.0,50.0,50.0,50.0,33.0,50.0,50.0,58.0,58.0,50.0,40.0,33.0,50.0,43.0,67.0
青江白菜,66.0,43.0,41.0,50.0,33.0,50.0,33.0,50.0,50.0,50.0,35.0,33.0,33.0,37.0,58.0
空心菜,66.0,50.0,41.0,50.0,33.0,41.0,42.0,41.0,50.0,50.0,30.0,41.0,25.0,39.0,42.0
青蔥,83.0,55.0,50.0,50.0,33.0,50.0,33.0,58.0,50.0,50.0,42.0,46.0,33.0,42.0,50.0
韭菜,83.0,47.0,41.0,41.0,33.0,50.0,42.0,50.0,58.0,50.0,42.0,50.0,50.0,43.0,58.0
茄子,83.0,46.0,41.0,33.0,25.0,41.0,50.0,50.0,50.0,33.0,35.0,25.0,33.0,42.0,50.0
蕃茄,83.0,46.0,41.0,33.0,25.0,41.0,50.0,50.0,50.0,50.0,33.0,35.0,25.0,31.0,50.0
菜豆,100.0,58.0,67.0,66.0,41.0,66.0,67.0,67.0,83.0,66.0,45.0,58.0,67.0,40.0,50.0
大黃瓜,50.0,30.0,33.0,33.0,25.0,50.0,75.0,41.0,41.0,25.0,38.0,25.0,42.0,30.0,42.0
花椰菜,83.0,50.0,41.0,33.0,25.0,50.0,50.0,50.0,66.0,41.0,42.0,45.0,50.0,42.0,67.0
絲瓜,50.0,33.0,25.0,25.0,25.0,41.0,33.0,33.0,41.0,25.0,25.0,33.0,33.0,29.0,42.0
花胡瓜,100.0,60.0,58.0,58.0,41.0,58.0,50.0,67.0,66.0,66.0,40.0,50.0,42.0,57.0,67.0
苦瓜,100.0,67.0,58.0,58.0,50.0,66.0,50.0,67.0,83.0,66.0,58.0,55.0,50.0,51.0,67.0
青椒,83.0,50.0,41.0,50.0,41.0,50.0,42.0,50.0,66.0,50.0,50.0,41.0,33.0,45.0,67.0
芹菜,100.0,80.0,83.0,66.0,58.0,66.0,67.0,91.0,83.0,100.0,92.0,75.0,83.0,73.0,100.0
四季豆,133.0,86.0,91.0,66.0,58.0,83.0,100.0,100.0,100.0,83.0,70.0,83.0,83.0,81.0,116.0
牛蒡,83.0,83.0,67.0,83.0,58.0,83.0,50.0,67.0,66.0,83.0,83.0,63.0,83.0,81.0,83.0
生薑,133.0,100.0,83.0,100.0,75.0,100.0,167.0,117.0,100.0,100.0,60.0,83.0,75.0,86.0,100.0
芋頭,117.0,83.0,83.0,83.0,75.0,83.0,75.0,83.0,100.0,91.0,83.0,83.0,83.0,81.0,91.0
綠竹筍,0.0,0.0,0.0,0.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
洋蔥,66.0,42.0,33.0,41.0,33.0,41.0,33.0,37.0,41.0,41.0,45.0,33.0,42.0,37.0,50.0
綠蘆筍,0.0,186.0,0.0,233.0,183.0,0.0,233.0,0.0,233.0,250.0,0.0,0.0,0.0,0.0,267.0
筊白筍,0.0,133.0,183.0,166.0,133.0,200.0,167.0,167.0,166.0,166.0,0.0,0.0,200.0,172.0,167.0
大芥菜,83.0,43.0,41.0,41.0,33.0,50.0,50.0,50.0,50.0,50.0,33.0,36.0,42.0,40.0,58.0
青蒜,133.0,83.0,91.0,83.0,66.0,83.0,100.0,117.0,100.0,100.0,60.0,83.0,83.0,78.0,100.0
蒜頭,233.0,200.0,200.0,200.0,133.0,200.0,183.0,200.0,200.0,200.0,117.0,133.0,133.0,190.0,200.0
甘藍芽,133.0,83.0,83.0,83.0,75.0,100.0,117.0,67.0,100.0,83.0,83.0,0.0,83.0,0.0,83.0
芥藍,100.0,50.0,50.0,58.0,33.0,58.0,50.0,50.0,50.0,58.0,40.0,41.0,33.0,51.0,58.0
莧菜,83.0,47.0,50.0,50.0,33.0,50.0,50.0,58.0,50.0,50.0,35.0,41.0,42.0,40.0,58.0
本島萵苣,83.0,60.0,58.0,50.0,33.0,66.0,67.0,67.0,66.0,58.0,40.0,46.0,42.0,0.0,0.0
萵苣,66.0,60.0,50.0,58.0,33.0,58.0,50.0,50.0,50.0,58.0,42.0,46.0,83.0,0.0,67.0
