日期,市場,價格
2014-01-01,國民市場,166.0
2014-01-01,鹽埕示範,
2014-01-01,新興第二,150.0
2014-01-01,三民第二,
2014-01-01,左營第四,
2014-01-01,鼓山第三,150.0
2014-01-01,楠梓市場,
2014-01-01,三民第一,167.0
2014-01-01,苓雅市場,
2014-01-01,中華市場,
2014-01-01,旗山第一,
2014-01-01,鳳山第一,
2014-01-01,岡山文賢,
2014-01-01,大寮大發,
2014-01-01,橋頭市場,
2014-01-02,國民市場,166.0
2014-01-02,鹽埕示範,150.0
2014-01-02,新興第二,150.0
2014-01-02,三民第二,150.0
2014-01-02,左營第四,133.0
2014-01-02,鼓山第三,150.0
2014-01-02,楠梓市場,167.0
2014-01-02,三民第一,167.0
2014-01-02,苓雅市場,150.0
2014-01-02,中華市場,150.0
2014-01-02,旗山第一,116.0
2014-01-02,鳳山第一,150.0
2014-01-02,岡山文賢,167.0
2014-01-02,大寮大發,160.0
2014-01-02,橋頭市場,167.0
2014-01-03,國民市場,166.0
2014-01-03,鹽埕示範,150.0
2014-01-03,新興第二,150.0
2014-01-03,三民第二,150.0
2014-01-03,左營第四,133.0
2014-01-03,鼓山第三,150.0
2014-01-03,楠梓市場,167.0
2014-01-03,三民第一,150.0
2014-01-03,苓雅市場,150.0
2014-01-03,中華市場,150.0
2014-01-03,旗山第一,116.0
2014-01-03,鳳山第一,150.0
2014-01-03,岡山文賢,167.0
2014-01-03,大寮大發,160.0
2014-01-03,橋頭市場,167.0
2014-01-04,國民市場,
2014-01-04,鹽埕示範,
2014-01-04,新興第二,
2014-01-04,三民第二,
2014-01-04,左營第四,
2014-01-04,鼓山第三,
2014-01-04,楠梓市場,
2014-01-04,三民第一,
2014-01-04,苓雅市場,
2014-01-04,中華市場,
2014-01-04,旗山第一,116.0
2014-01-04,鳳山第一,
2014-01-04,岡山文賢,
2014-01-04,大寮大發,
2014-01-04,橋頭市場,167.0
2014-01-05,國民市場,
2014-01-05,鹽埕示範,
2014-01-05,新興第二,
2014-01-05,三民第二,
2014-01-05,左營第四,
2014-01-05,鼓山第三,
2014-01-05,楠梓市場,
2014-01-05,三民第一,
2014-01-05,苓雅市場,
2014-01-05,中華市場,
2014-01-05,旗山第一,
2014-01-05,鳳山第一,
2014-01-05,岡山文賢,
2014-01-05,大寮大發,
2014-01-05,橋頭市場,167.0
2014-01-06,國民市場,166.0
2014-01-06,鹽埕示範,150.0
2014-01-06,新興第二,0.0
2014-01-06,三民第二,150.0
2014-01-06,左營第四,133.0
2014-01-06,鼓山第三,150.0
2014-01-06,楠梓市場,167.0
2014-01-06,三民第一,
2014-01-06,苓雅市場,150.0
2014-01-06,中華市場,0.0
2014-01-06,旗山第一,133.0
2014-01-06,鳳山第一,0.0
2014-01-06,岡山文賢,0.0
2014-01-06,大寮大發,0.0
2014-01-06,橋頭市場,167.0
2014-01-07,國民市場,166.0
2014-01-07,鹽埕示範,150.0
2014-01-07,新興第二,150.0
2014-01-07,三民第二,150.0
2014-01-07,左營第四,133.0
2014-01-07,鼓山第三,150.0
2014-01-07,楠梓市場,167.0
2014-01-07,三民第一,167.0
2014-01-07,苓雅市場,150.0
2014-01-07,中華市場,150.0
2014-01-07,旗山第一,133.0
2014-01-07,鳳山第一,150.0
2014-01-07,岡山文賢,167.0
2014-01-07,大寮大發,160.0
2014-01-07,橋頭市場,167.0
2014-01-08,國民市場,166.0
2014-01-08,鹽埕示範,150.0
2014-01-08,新興第二,150.0
2014-01-08,三民第二,150.0
2014-01-08,左營第四,133.0
2014-01-08,鼓山第三,150.0
2014-01-08,楠梓市場,167.0
2014-01-08,三民第一,167.0
2014-01-08,苓雅市場,150.0
2014-01-08,中華市場,150.0
2014-01-08,旗山第一,133.0
2014-01-08,鳳山第一,150.0
2014-01-08,岡山文賢,167.0
2014-01-08,大寮大發,160.0
2014-01-08,橋頭市場,167.0
2014-01-09,國民市場,166.0
2014-01-09,鹽埕示範,150.0
2014-01-09,新興第二,150.0
2014-01-09,三民第二,150.0
2014-01-09,左營第四,133.0
2014-01-09,鼓山第三,150.0
2014-01-09,楠梓市場,167.0
2014-01-09,三民第一,167.0
2014-01-09,苓雅市場,150.0
2014-01-09,中華市場,150.0
2014-01-09,旗山第一,133.0
2014-01-09,鳳山第一,166.0
2014-01-09,岡山文賢,167.0
2014-01-09,大寮大發,160.0
2014-01-09,橋頭市場,167.0
2014-01-10,國民市場,166.0
2014-01-10,鹽埕示範,150.0
2014-01-10,新興第二,150.0
2014-01-10,三民第二,150.0
2014-01-10,左營第四,133.0
2014-01-10,鼓山第三,150.0
2014-01-10,楠梓市場,167.0
2014-01-10,三民第一,167.0
2014-01-10,苓雅市場,150.0
2014-01-10,中華市場,150.0
2014-01-10,旗山第一,133.0
2014-01-10,鳳山第一,166.0
2014-01-10,岡山文賢,167.0
2014-01-10,大寮大發,160.0
2014-01-10,橋頭市場,167.0
2014-01-11,國民市場,
2014-01-11,鹽埕示範,
