食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,,72.0,58.0,75.0,67.0,50.0,67.0,67.0,,75.0,,50.0,50.0,58.0,83.0
胡蘿蔔,,63.0,67.0,58.0,58.0,58.0,58.0,67.0,,66.0,,42.0,50.0,58.0,66.0
麻竹筍,,100.0,108.0,100.0,83.0,116.0,100.0,117.0,,100.0,,75.0,0.0,92.0,100.0
馬鈴薯,,58.0,67.0,58.0,58.0,58.0,67.0,67.0,,66.0,,42.0,50.0,52.0,66.0
甘藍,,83.0,92.0,83.0,75.0,83.0,83.0,83.0,,83.0,,58.0,67.0,64.0,83.0
小白菜,,85.0,75.0,100.0,67.0,83.0,100.0,83.0,,100.0,,58.0,50.0,60.0,100.0
包心白菜,,95.0,100.0,83.0,83.0,83.0,83.0,100.0,,100.0,,58.0,75.0,64.0,100.0
菠菜,,186.0,183.0,216.0,175.0,83.0,217.0,200.0,,183.0,,150.0,158.0,172.0,200.0
青江白菜,,100.0,75.0,91.0,67.0,66.0,100.0,83.0,,100.0,,58.0,50.0,58.0,100.0
空心菜,,58.0,55.0,50.0,50.0,66.0,67.0,58.0,,58.0,,0.0,25.0,48.0,66.0
青蔥,,83.0,83.0,100.0,75.0,100.0,83.0,83.0,,83.0,,50.0,50.0,72.0,100.0
韭菜,,58.0,58.0,58.0,58.0,66.0,67.0,67.0,,58.0,,50.0,58.0,54.0,66.0
茄子,,85.0,83.0,75.0,75.0,83.0,83.0,83.0,,83.0,,50.0,50.0,74.0,83.0
蕃茄,,112.0,100.0,100.0,83.0,83.0,100.0,100.0,,116.0,,75.0,58.0,80.0,100.0
菜豆,,117.0,100.0,100.0,83.0,0.0,100.0,100.0,,116.0,,58.0,83.0,90.0,116.0
大黃瓜,,58.0,67.0,58.0,58.0,75.0,67.0,67.0,,66.0,,42.0,50.0,52.0,66.0
花椰菜,,133.0,150.0,0.0,133.0,83.0,167.0,150.0,,0.0,,108.0,133.0,108.0,150.0
絲瓜,,50.0,55.0,41.0,50.0,58.0,50.0,58.0,,50.0,,42.0,25.0,42.0,66.0
花胡瓜,,108.0,83.0,100.0,67.0,116.0,100.0,83.0,,100.0,,50.0,83.0,84.0,116.0
苦瓜,,95.0,75.0,83.0,67.0,116.0,83.0,83.0,,83.0,,67.0,83.0,80.0,100.0
青椒,,100.0,83.0,100.0,100.0,116.0,100.0,133.0,,100.0,,75.0,92.0,88.0,133.0
芹菜,,133.0,133.0,133.0,133.0,116.0,133.0,133.0,,133.0,,83.0,100.0,96.0,150.0
四季豆,,167.0,183.0,166.0,167.0,166.0,167.0,200.0,,200.0,,105.0,117.0,164.0,200.0
牛蒡,,80.0,67.0,83.0,67.0,83.0,83.0,67.0,,83.0,,50.0,83.0,74.0,100.0
生薑,,133.0,117.0,133.0,133.0,133.0,117.0,133.0,,133.0,,75.0,133.0,104.0,150.0
芋頭,,116.0,117.0,116.0,108.0,100.0,105.0,108.0,,116.0,,75.0,83.0,90.0,116.0
綠竹筍,,0.0,0.0,0.0,0.0,0.0,250.0,0.0,,166.0,,0.0,0.0,0.0,0.0
洋蔥,,58.0,58.0,58.0,55.0,66.0,50.0,58.0,,66.0,,33.0,50.0,52.0,66.0
綠蘆筍,,0.0,0.0,0.0,0.0,0.0,250.0,0.0,,0.0,,0.0,0.0,0.0,0.0
筊白筍,,216.0,200.0,233.0,200.0,233.0,217.0,217.0,,233.0,,117.0,183.0,0.0,250.0
大芥菜,,72.0,75.0,0.0,67.0,83.0,83.0,75.0,,0.0,,0.0,58.0,0.0,0.0
青蒜,,267.0,333.0,216.0,300.0,200.0,250.0,333.0,,266.0,,0.0,200.0,232.0,250.0
