食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,,50.0,,,,,,,,,,,,,
胡蘿蔔,,50.0,,,,,,,,,,,,,
麻竹筍,,100.0,,,,,,,,,,,,,
馬鈴薯,,58.0,,,,,,,,,,,,,
甘藍,,71.0,,,,,,,,,,,,,
小白菜,,83.0,,,,,,,,,,,,,
包心白菜,,66.0,,,,,,,,,,,,,
菠菜,,167.0,,,,,,,,,,,,,
青江白菜,,86.0,,,,,,,,,,,,,
空心菜,,58.0,,,,,,,,,,,,,
青蔥,,85.0,,,,,,,,,,,,,
韭菜,,58.0,,,,,,,,,,,,,
茄子,,71.0,,,,,,,,,,,,,
蕃茄,,67.0,,,,,,,,,,,,,
菜豆,,92.0,,,,,,,,,,,,,
大黃瓜,,50.0,,,,,,,,,,,,,
花椰菜,,82.0,,,,,,,,,,,,,
絲瓜,,43.0,,,,,,,,,,,,,
花胡瓜,,67.0,,,,,,,,,,,,,
苦瓜,,83.0,,,,,,,,,,,,,
青椒,,67.0,,,,,,,,,,,,,
芹菜,,108.0,,,,,,,,,,,,,
四季豆,,116.0,,,,,,,,,,,,,
牛蒡,,83.0,,,,,,,,,,,,,
生薑,,116.0,,,,,,,,,,,,,
芋頭,,83.0,,,,,,,,,,,,,
綠竹筍,,0.0,,,,,,,,,,,,,
洋蔥,,50.0,,,,,,,,,,,,,
綠蘆筍,,233.0,,,,,,,,,,,,,
筊白筍,,216.0,,,,,,,,,,,,,
大芥菜,,67.0,,,,,,,,,,,,,
青蒜,,300.0,,,,,,,,,,,,,
蒜頭,,167.0,,,,,,,,,,,,,
甘藍芽,,116.0,,,,,,,,,,,,,
芥藍,,83.0,,,,,,,,,,,,,
莧菜,,58.0,,,,,,,,,,,,,
本島萵苣,,83.0,,,,,,,,,,,,,
萵苣,,83.0,,,,,,,,,,,,,
茼蒿,,0.0,,,,,,,,,,,,,
青花苔,,82.0,,,,,,,,,,,,,
金針菜乾,,533.0,,,,,,,,,,,,,
冬瓜,,33.0,,,,,,,,,,,,,
扁蒲,,42.0,,,,,,,,,,,,,
甜碗豆,,133.0,,,,,,,,,,,,,
碗豆,,133.0,,,,,,,,,,,,,
甜玉米,,58.0,,,,,,,,,,,,,
香菇乾,,1667.0,,,,,,,,,,,,,
香菇溼,,166.0,,,,,,,,,,,,,
黑色木耳,,116.0,,,,,,,,,,,,,
香蕉,,,,,,,,,,,,,,,
鳳梨17號,,,,,,,,,,,,,,,
番石榴世紀,,,,,,,,,,,,,,,
木瓜,,,,,,,,,,,,,,,
小西瓜,,,,,,,,,,,,,,,
甜瓜,,,,,,,,,,,,,,,
洋香瓜,,,,,,,,,,,,,,,
海梨柑,,,,,,,,,,,,,,,
文旦,,,,,,,,,,,,,,,
柳橙,,,,,,,,,,,,,,,
椪柑,,,,,,,,,,,,,,,
楊桃,,,,,,,,,,,,,,,
蓮霧,,,,,,,,,,,,,,,
鶯歌桃,,,,,,,,,,,,,,,
紅柿子,,,,,,,,,,,,,,,
巨峰葡萄,,,,,,,,,,,,,,,
黑葉荔枝,,,,,,,,,,,,,,,
在來芒果,,,,,,,,,,,,,,,
新世紀梨,,,,,,,,,,,,,,,
棗子,,,,,,,,,,,,,,,
紅肉李,,,,,,,,,,,,,,,
玉李,,,,,,,,,,,,,,,
荔枝玉荷,,,,,,,,,,,,,,,
鳳梨開英,,,,,,,,,,,,,,,
桶柑,,,,,,,,,,,,,,,
檸檬,,,,,,,,,,,,,,,
茂谷柑,,,,,,,,,,,,,,,
白柚,,,,,,,,,,,,,,,
甜桃,,,,,,,,,,,,,,,
水蜜桃,,,,,,,,,,,,,,,
牛心柿,,,,,,,,,,,,,,,
甜柿,,,,,,,,,,,,,,,
橫山梨,,,,,,,,,,,,,,,
新興梨,,,,,,,,,,,,,,,
大西瓜,,,,,,,,,,,,,,,
無子西瓜,,,,,,,,,,,,,,,
枇杷,,,,,,,,,,,,,,,
番石榴珍珠,,,,,,,,,,,,,,,
金煌芒果,,,,,,,,,,,,,,,
愛文芒果,,,,,,,,,,,,,,,
釋迦,,,,,,,,,,,,,,,
龍眼,,,,,,,,,,,,,,,
虱目魚,,,,,,,,,,,,,,,
吳郭魚,,,,,,,,,,,,,,,
鰱魚,,,,,,,,,,,,,,,
赤宗,,,,,,,,,,,,,,,
加臘,,,,,,,,,,,,,,,
盤仔魚,,,,,,,,,,,,,,,
白鯧,,,,,,,,,,,,,,,
旗魚,,,,,,,,,,,,,,,
鮪魚,,,,,,,,,,,,,,,
肉魚,,,,,,,,,,,,,,,
紅目鰱,,,,,,,,,,,,,,,
烏賊,,,,,,,,,,,,,,,
白帶魚,,,,,,,,,,,,,,,
鯖魚,,,,,,,,,,,,,,,
白口,,,,,,,,,,,,,,,
海鰻,,,,,,,,,,,,,,,
金線魚,,,,,,,,,,,,,,,
黃花魚,,,,,,,,,,,,,,,
黑鯧,,,,,,,,,,,,,,,
草蝦,,,,,,,,,,,,,,,
厚殼蝦,,,,,,,,,,,,,,,
里肌肉,,,,,,,,,,,,,,,
後腿肉,,,,,,,,,,,,,,,
五花肉,,,,,,,,,,,,,,,
牛腱,,,,,,,,,,,,,,,
腿肉,,,,,,,,,,,,,,,
腩肉,,,,,,,,,,,,,,,
肉雞,,,,,,,,,,,,,,,
土雞,,,,,,,,,,,,,,,
仿雞,,,,,,,,,,,,,,,
鴨子,,,,,,,,,,,,,,,
雞,,,,,,,,,,,,,,,
鴨,,,,,,,,,,,,,,,
